제목	본문
내신  인데 지금부터라도 걍 정시로 돌릴까	미안 어그로야 나 중 상위권 정도인데 고등학교 좀 골라주라추 교통 별로 등교시간 분 조금 넘게 걸림 학생수 많고 공학임 대학 잘보내는 편이고 특히 내가 과학 좋아해서 과중반 있는게 좋았음 분위기는 걍보통반 등교로 분 걸림 대학 진짜 못보냄 문과성향 좀 있음 마찬가지로 여고고 다 착하고 분위기 좋은데 세특 잘 못써줌 학생 수 많음댓글목동 강남 애들이 싹쓸이한 학교 교통 괜찮고 등교시간은 분 걸릴 듯 여고고 엄청 빡셈 시험도 개어렵기로 유명 대학 잘보냄여기도 과중 있음 수능 챙겨줌서치 뷰티 틴트 화장 고등학교 수능 수시 정시 공부도와줘 아직까지 못골랐어 도와줘 미안 어그로야 나 중 상위권 정도인데 고등학교 좀 골라주라추 교통 별로 등교시간 분 조금 넘게 걸림 학생수 많고 공학임 대학 잘보내는 편이고 특히 내가 과학 좋아해서 과중반 있는게 좋았음 분위기는 걍보통반 등교로 분 걸림 대학 진짜 못보냄 문과성향 좀 있음 마찬가지로 여고고 다 착하고 분위기 좋은데 세특 잘 못써줌 학생 수 많음댓글목동 강남 애들이 싹쓸이한 학교 교통 괜찮고 등교시간은 분 걸릴 듯 여고고 엄청 빡셈 시험도 개어렵기로 유명 대학 잘보냄여기도 과중 있음 수능 챙겨줌서치 뷰티 틴트 화장 고등학교 수능 수시 정시 공부도와줘 아직까지 못골랐어 도와줘추 교통 별로 등교시간 분 조금 넘게 걸림 학생수 많고 공학임 대학 잘보내는 편이고 특히 내가 과학 좋아해서 과중반 있는게 좋았음 분위기는 걍보통반 등교로 분 걸림 대학 진짜 못보냄 문과성향 좀 있음 마찬가지로 여고고 다 착하고 분위기 좋은데 세특 잘 못써줌 학생 수 많음댓글목동 강남 애들이 싹쓸이한 학교 교통 괜찮고 등교시간은 분 걸릴 듯 여고고 엄청 빡셈 시험도 개어렵기로 유명 대학 잘보냄여기도 과중 있음 수능 챙겨줌서치 뷰티 틴트 화장 고등학교 수능 수시 정시 공부도와줘 아직까지 못골랐어 도와줘
솔직히 로제 솔로	 성적 좋았는데 왜 자꾸 후려침 그때 차트 개편되기 전 때도 롤린 다음에 위였음이정도면 완전 잘된거현재 여솔로 중에 영어 노래로 그 정도 성적 거둘 사람 아이돌 중에 있나블핑 좀 그만 까블랙핑크 로제 제니  
야 뷔 이 거 개쩐 다 존 잘임	왜 다들 잘생겼다하는지 이제 알았음 미쳤다 보자마자 팬아저했음 아님 이제 팬이라서 팬저임 
좋아하는 사람으로 야 한 상상	하 진짜 너무 심각한 고민인데 난 고딩이고 한창 혈기왕성한데 좋아하는 사람이나 아이돌이나 배우나 그런 상대로 사귀는 상상은 기본이고 약간 야한상상도 하는데 이게 약간 플레이나 그런 역겨운 상상말고 진짜 아름답게 사랑나누거나 그런 그런 상상들 근데 가끔 생리하기전에 다들 성욕 폭발하잖아 근데 난 그 때 진짜 망상 많이하는데 내가 한 망상들이 범죄물이나 플레이 그런건 아니더라도 진짜 상상하고나면 죄책감 오짐 짝남이 내가 이런 상상하고 있다는건 몰라도 내가 입장 바꿔보면 진짜 변태일 것 같고 기분 나쁠 것 같고 근데 또 안할 수도 없어 정신차리고보면 그러고 있음 나만 이런건가 아님 다들 이러는데 티 안내고 상상이니까 지 이러고 사는건가 진짜 내 자신이 변태같고 경험이 없어서 이런상상 더 많이 하는것 같은데 그래서 한편으론 빨리 경험해보고 싶고 내가 성인되서 진짜 사랑하는 사람이랑 하는 상상 이런것도 해보는데 걍 경험 없어서 유독 더 심한듯  참고로 마지막 남친은 중딩때였는데 손만 잡아봄참고로 난 찐따나 음침한 사람도 아니고 그냥 학교에 두루두루 친하고 잘 어울리는데 그냥 속으로 이딴 상상하는거 
하이라이트 랑 비투비 웃긴 게	하이라이트는 윤두준만 육군이고 나머지는 다 의경비투비는 이민혁만 의경이고 나머지는 다 육군 두 팀 만나서 육군  의경으로 군부심 토론 자컨내면 잘될거같음
멍청하고 눈치 없는 남자친구랑 헤어졌어요	남친이랑 나는 중딩 동창 년내내 같은반이였고 학년때 친해짐근데 그당시에 남친이 날 좋아한단 소문이 있었고친구들이 놀릴때마다 남친은 부끄러운 표정 지으며 부정하지 않았음남친 친구들도 그당시에  받아주라면서 나한테 장난 걸기도 했고 나는 남자친구가 나에게 직접적으로 고백한게 아니였고외고 준비하느라 바빠서 옆에서 놀려도 별말 안했음 그래도 사람인지라 누가 나 좋아한다고 하니까 내심 좋았었음 그리고 고등학교는 따로 가서 연락 끊어지고 정말 우연히도 년만에 만나게 됨 번호 교환하고 서로 안부 묻다가 밥 몇번 먹음그리고 남친한테 고백받아서 사귀게 됨 진짜 운명이라고 생각했었음얘 중딩때 나 좋아했었는데 또 이렇게 이어지는구나생각보다 순정파구나 나혼자 수줍어하고 좋아했었음 등신같이 근데 사귄지 얼마 안지나고 한다는 말이예전에 나 너 좋아한다고 했던거 사실은 이 좋아한건데 이가 인기가 많았잖아 엄청 예쁘기도 했고 근데 내가 좋아한다고 하면 놀림 받을거 같아서 짝꿍인 너 좋아한다고 친구들한테 거짓말 했었다 그때 니가 별 반응 안해서 진짜 다행이라고 생각했는데 지금 생각하면 너도 되게 예뻐서 너 좋아하는 애들도 많았는데 나도 뭔 생각으로 너 좋아한다고 거짓말 쳤는지 모르겠다 우연히 다시 만났을땐 가슴이 막 뛰고 집에가서도 니 생각에 잠을 못자겠더라 이게 운명인건가 저 말 듣자마자 카페 나와서 택시 타고 집에 왔어요 연락 오는거 다 무시하고 있구요 아니 저 얘기를 꼭 했어야 했나요그냥 모르는척 묻어둬도 되는 얘기 아니에요굳이 꺼내서 나 예전에 너 좋아했던거 뻥이라고 말해야하는건가요 지금 사귀고 있는 사이에 그리고 이가 인기 많아서 좋아한다고 고백 못하니 나를 이용했단거잖아요그래놓고 나보고 안받아줘서 다행이라니그걸 당사자한테 심지어 지금은 사귀고 있는 사이에 말해도 되는건가요 눈치가 아무리 없어도 이건 좀 너무한거 아니에요뭐 자기는 예전일 재밌자고 얘기한거고 지금은 진짜로 좋아하는데 무슨 상관이냐고 하네요 저는 정말 운명이라고 생각했고 그때 이어지지 않은 사이가 다시 연결된거라고 생각했는데 저혼자 드라마 쓴거네요 그냥 그때 외고준비하느라 바빠서 안받아준게 다행인거네요
 지민 최근 사진 또 볼 사람	뉴사진뜸 올해 월 전시회고 전시 주최자인 이상순님 빼고 지민 설현 둘이서만 찍은 사진도 있더라 이것도 누군가가 보고 찍어서 인터넷에 올렸나봐  팬도 아니었는데 지민이 너무 보고 싶다 파면 팔수록 권민아 지민 개인간의 불화였을 뿐인데 한 잘못에 비해 너무나 과한 벌을 받고 혼자 고생한 것 같아 
아니 전 정국 목에 그거 있잖아	솔직히 진짜 박지민이 한 거 아니었으면 그걸 당당하게 내놓고 굳이 지 입으로 언급한 게 더 수상한 시나리오 아니냐 오히려 감추고 싶어서 자기 멤한테 뒤집어 쓴 상황이라면 차라리 그거 가려지는 옷 입고 아무 말도 안하는게 자신한테 득일텐데 안 그럼 데뷔 몇년차인데 회사나 걔네나 이렇게 달려들지 몰랐겠냐고자신들이 당당하니까 안 감추고 나온거고 얼픽 들어보니까 전정국이 먼저 언급했다는데 내가 예전에 알았던 전정국은 황당한 일 생기면 자기가 먼저 신나가지고 얘기하던 스타일이었던 것 같았는데 말이지솔직히 아무것도 모르는 상황에서 알 수 있는 건 박지민이 술에 취해서 전정국을 물었다 이 상황인데  달려들어서 까거나 음지로 쳐먹는 정병들이 이해가 안되네 
비투비는 뭔가	비투비는 뭔가 사람이 성숙해 보인달까 말할 때 딱 그런 느낌이 남 엄청 유쾌하면서도 가볍게 보이지 않고 사람이 진지해 보여서 너무 호감상임 오랜 시간 동안 활동하다 보니깐 팬은 아니지만 나랑 같이 추억을 보낸 느낌이라서 가끔씩 볼 때마다 마음이 몽글몽글해지더라 앞으로도 오래오래 활동했으면 좋겠다 
무쌍은 속눈썹 펌이 답이야	나 무쌍이고 속눈썹도 긴편인데 직모기도하고 애초에 눈살이 속눈썹 뿌리를 덮고 있거든 그래서 뷰러 개빡세게하고 마스카라해도 밖에 나가서 보면 다 쳐져있음 하 개빡쳐확실하게 속눈썹 빡 올릴려면 속눈썹펌이 답이야주기마다 속눈썹펌하는게 돈 드는게 좀 그렇긴한대 
실시간 됐다 야 붕이 모음	 
어려 보이는 거 싫다는 사람 공감됨	나 아는 사람이  후반인데 딱 중딩 고딩진짜 중학생 정도 미성년자 처럼 생겼거든그래서 어려보이는거 고민이고애 처럼 생긴거 싫고 대학생 대 처럼 생기고싶다고 하더라고성숙한 옷 입고 화장을 해도 애가 어른 흉내내는거같고 만만하게 보는 사람들 부터 초면에 반말 하는 사람도 많고어디가서 후반이라고 하면 다들 미성년자아니냐면서 못 믿고 술 마시러가먄 민증검사는 무조건 필수로 하고다른 또래애들은 다 여성미 있는 대 여대생아가씨 같은데 본인은 아직도 성장기 어린애 이미지 난다고 어려보이는거 고민이라고 함너희는 어려보이는거 고민 공감 됨  
비품 횡령이 의심	 
자꾸 내 시 부모를 궁금해하고 욕하는 절친	안녕하세요 이 새벽에 잠도 안오고 답답해서 글 써봐요글이 좀 길어질것같네용저는 대 초중반 기혼녀예요 결혼년차저에게는 년된 절친이 있어요 친구는 미혼이고 남자친구가 있어요초등학생때부터 지금까지 맨날 붙어다니며 박터지게 싸우고 울면서 껴안고 화해하기도 하고 불같은 사춘기를 함께 보내며 슬픔기쁨 나누고 서로의지하며 함께 자란 친구예요만약 친구에게 장기라도 나눠줘야한다면 제 수명이 조금 줄어들어도 기꺼이 떼어줄수있을정도로 소중한 자매같은 제 인생의 일부분인 친구였죠그런데 제가 결혼하고 나서부터 친구와 대화할때마다 조금 불편한 부분들이 생기기 시작했어요 친구가 남자친구도 있고 본인도 이제 결혼이야기가 슬슬나와서 그런지 결혼생활이나 시댁이야기에 관심이 많더라구요 이것저것 물어보기도 하고 그런데제가 시댁에 대한 이야기만 하면 내용이 어떻든 결과적으로 이래서 시월드라고 하는구나나는 시댁때문에 결혼 못 하겠어 같은 제 의도와는 다른 자꾸 부정적인 반응만 돌아옵니다예를들면 엊그제의 대화의 경우에는제가 작년에 출산을하면서 살도많이찌고 코로나땜에 나가지도 못하고 집에서 육아만 하다보니 외모가 많이 망가졌거든요 물론 의지의 문제도 있어요 나레기그와중에 친한사촌 결혼식을 가야하는데 옷장에 맞는 옷이 하나도 없는거예요 산후우울증인지 뭔지 장농 뒤지다가 갑자기 자존감이 땅을치고 거울에 비친 내 모습이 흡사 돼지새끼같아 팍 속상해지더라구요그래서 주저앉아 울고있는데 남편이 그 모습보고 놀라서 다음날 반차내고 같이백화점가서 새옷도 사주고 했어요근데 정말 디룩디룩 살 찐 제 몸뚱이가 창피해서 옷사러 다니면서 입어보고 그러는것도 고역이더라구요  여튼그러고 몇일뒤에 시어머니가 카톡오셔서 이번주에 택배 몇개 갈거야 내가보냈어 이러시더라구요전화드려서 어머님 뭘 보내셨냐 했더니 그게 뭐 요즘 젊은애들 운동하는거라더라 집에서 심심할때 재미삼아 해봐바쁘니까 끊는다 하고 뚝 끊으시는거예요 저희 시어머님 되게 시크하세요 택배가 왔는데 요즘 인스타 광고 돌아다니는 그런 간단한 필라테스 기구하나랑 티셔츠 큼지막한거 몇장큼지막한데 또 나한테 딱 맞아 그게  립스틱 막 브랜드 아니고 정말 학생들이 쓸법한 컬렄 이렇게 보내셨더라구요알고보니 남편이 어머님께 이가 살쪄서 입을 옷도 없고 본인이 사람같지않다 돼지같다면서 울고있더라 산후우울증같다 뭐 이런얘기를 했다네요  저는 보내주신것들이 제 마음에 들고 안들고를 떠나서 너무 감동이었거든요감사하고 립스틱이 너무 웃겼던게  시어머니가 맨날 저를 애기처럼 보시거든요 립스틱컬러가 진짜 쨍한 핫핑크 어린 귀여운 친구들이 어울릴법한 그런걸 보내셔서 귀엽기도 하고그래서 이런 이야기를 친구에게 했는데 친구 반응이친구  헐 나같으면 너무 상처받을것같아나  상처 왜친구  너 살쪘다고 살 빼라는 말을 돌려서 하신거잖아나  아냐아냐 그냥 내가 운동하러도 못 다니고 하니까 생각해주신거지 에이 난 감사했어친구  며느리한테 살쪘다고 눈치주는 시어머니들이 가끔 계시다던데 그게 너희 시어머니일줄이야  내 남친 어머님도 그러시면 어쩌지 지금부터라도 다이어트 해야하나나  눈치주시는거 아냐 생각해주신거지 야야 별 걱정을 다한다 너 날씬하잖아 친구  에휴  천천히 살 빼봐 너무스트레스 받지말고이런식으로 화제가 돌아갔는데 여튼이런식의 대화예요 항상 난 감사했다는 이야기를 하고싶었던건데 오히려 시어머니 욕을하게 된 것 같아서 찝찝하더라구요또 다른일은 시어머니가 소고기를 안 드셔요 그래서 소고기 선물들어오거나 하면 다 저희집으로 가져오시거든요또 저희는 반대로 돼지 닭보다는 소고기 킬러라서 종종 사서 보내주시기도 하셨어요 최근에는 보내주신 소고기로 아기 이유식을 만들곤 했는데 친구가 또 그 이야기를 듣고는친구  야야 일부러 보내시는거네 이유식 직접 만들어먹이라고나  엥 아니여 소고기 안드셔서 보내주시는거야 애 없을때도 우리 먹으라고 종종 보내셨어친구  에휴 너도 참 딱하다  이유식까지 직접 만들어먹여야하니 요즘 인터넷보면 다 잘해서 팔던데나  그렇긴하지 근데 아무래도 직접만들어먹이면 나도 마음이 좀 놓이니까친구  아휴 난 못해 시어머니 진짜 너무하시다  세상이 어느세상인데 내가 다 속상하네이런식으로 또 대화가 흘러갑니다  그럼 저는 또 머쓱해서 그런거아냐 하고 말돌리고이게 하루에도 몇번씩 계속되다보니 자연스럽게 친구에게 제 이야기는 안 하게되고 대화가 단절되더라구요솔직히 최근의 저는 육휴를내서 일상이 육아 시댁 남편이라 이런 얘기밖에 할 게 없거든요 이래서 친구들이 결혼하면 다들 멀어지는건가 싶고내가 친구한테 너무 눈치없이 관심없고 재미없는쪽 이야기만 해서 친구가 그만하라고 시그널을 보내는건가 싶기도 하고내가 넌씨눈이었나 별의별 생각 다 들었어요근데 또 친구가 저한테 먼저 시댁은 요즘 조용하냐 이런 질문을 하기도 하거든요건강하시냐 잘 지내시냐도 아니고 조용하냐라는 질문 자체도 이상하고 대체 저희 시부모님 안부가 왜 궁금한건지 싶기도 했어요 저희 시부모님들 정말 조용하신 분이예요전화보다는 카톡 선호하시고 그 카톡마저도 일주일에 두세번 할까말까예요 가끔 전화드리면 어 그래 쉬어라 아니면 바쁘다 하시며 후다닥 끊으려고 하시고귀찮은거 싫어하시는 스타일 유행하는 로 따지면 맞나요 그런쪽이실것같은 시아버지 어머니 두분이서만 여행다니시는거 좋아하시고 사람많고 시끌벅적한 분위기를 안좋아하세요요즘 코로나때문에 안 나가시는거 같긴 한데 애견미용 배우신다고 학원다니고 그냥 본인 삶 즐기시는 분들이거든요 코로나 이전에는 명절마다 여행다니시며 우리는 연휴에 여행 갈거니까 친정으로 가던지하고 주말이나 시간될때 저녁이나먹던지 하자 하실정도로 저희한테 큰 관심이 없으셔요 근데 그런 모습도 친구는 아무리 그래도 명절인데 가족끼리 얼굴도 안 보냐 오빠네 집안이 좀 화목하지 못한편인가 이런식으로 생각을 하더라구요참 어려워요 말을 안하자니 자꾸 궁금해하고 물어보면서 막상 말을 하면 부정적으로만 반응하고 이런 상황이 계속 쌓이다보니 정말 내가 남들이봤을때 좀 불행해보이나 친구가 나를 정말 걱정해주는건가 싶다가도 자꾸 부정적인 반응만 보이는 친구랑 대화가 힘들고자매처럼 늘 함께하고 의지했던 소중한 친구랑 이렇게 변해간다는게 너무 슬프고 허하네요결혼하고 남은 몇 안되는 진짜 친구중 하나였는데주변인들에게 말하자니 친구를 욕보이는것같아 이렇게 익명으로 넋두리를 해봅니다 
